Title,Beds,Bath,Area,Address,Type,Price(BDT)
A Modern Well-Planned Flat Of 1600 Sq Ft Is Up For Sale Is Situated In Khulshi,3,3,1600 sqft,"Khulshi, Chattogram",Apartment,8700000
"When Location, And Convenience Is Your Priority This 2 Bedroom Flat Is For You Next To Pallabi Phase 2 Central Mosque.",2,2,700 sqft,"Eastern Pallabi, Pallabi, Mirpur, Dhaka",Apartment,3500000
"Well Developed Residence Up For Sale In Gulshan 2 Near American International School Dhaka, Of 4200 Sq Ft",4,2,4200 sqft,"Gulshan 2, Gulshan, Dhaka",Apartment,50000000
2250 Sq Ft Flat For Sale In Gulshan 2 Near Azad Mosque,3,3,2250 sqft,"Gulshan 2, Gulshan, Dhaka",Apartment,100000000
A Unique Apartment In Colonel Hat Near Colonel Hat City Corporation Is Up For Sale,3,3,1517 sqft,"Colonel Jones Road, Colonel Hat, 10 No. North Kattali Ward, Chattogram",Apartment,8900000
A Convenient And Well-Constructed 2300 Sq. Ft -3 Bedroom Flat Is For Sale Very Close To Niketon Darul Kuran Madrasa Mosjid.,3,3,2300 sqft,"Gulshan 1, Gulshan, Dhaka",Apartment,80000000
Fairly Large Apartment Of 1250 Sq Ft Is Ready For Sale In Chandrima Model Town,3,3,1250 sqft,"Block A, Chandrima Model Town, Mohammadpur, Dhaka",Apartment,6400000
2000 Sq Ft Good Looking Flat In Uttara Is Now For Sale Nearby Oasis Intermediate College,3,3,2000 sqft,"Sector 9, Uttara, Dhaka",Apartment,7800000
3200 Sq Ft Apartment Is Available For Sale In Gulshan,4,2,3200 sqft,"Gulshan 1, Gulshan, Dhaka",Apartment,50000000
A Convenient 3200 Sq Ft Residential Home Is Prepared To Be Saleed At Gulshan,4,2,3200 sqft,"Gulshan 1, Gulshan, Dhaka",Apartment,50000000
"A Very Beautiful 1200 Sq Ft Flat Is Now Available For Sale In Khulshi, Road No 7",3,3,1200 sqft,"Nasirabad Properties Residential Area, Khulshi, Chattogram",Apartment,6500000
